date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted,GDP_dollar,GDP_local
7/1/2022,OMN,OMR,Oman,1.42,0.385,3.688311688,-0.28382,-0.22597,-0.1693,0.30382,0.03693,25517.3687,3.787194289,-0.14025,-0.17467,-0.08408,0.49215,-0.00308,18298.718,7035.857
7/1/2022,PAK,PKR,Pakistan,700,221.75,3.156708005,-0.38705,-0.33753,-0.28903,0.1159,-0.11252,1834.014182,3.375871758,-0.17452,-0.20756,-0.12059,0.43269,-0.04281,1562.258,249283.481
7/1/2022,PER,PEN,Peru,13.9,3.89285,3.570648753,-0.30667,-0.25066,-0.1958,0.26222,0.00385,9550.191493,3.509883077,-0.10192,-0.13787,-0.04325,0.55868,0.04136,6643.005,25776.245
7/1/2022,PHL,PHP,Philippines,155,56.265,2.754820937,-0.46508,-0.42187,-0.37955,-0.02617,-0.22551,5845.332898,3.445538653,-0.29418,-0.32243,-0.24806,0.22501,-0.18156,3571.798,175927.495
7/1/2022,POL,PLN,Poland,16.68,4.64845,3.588292872,-0.30324,-0.24696,-0.19183,0.26846,0.00881,21239.88256,3.71290471,-0.14683,-0.18099,-0.09109,0.48074,-0.01071,17815.192,68792.474
7/1/2022,QAT,QAR,Qatar,13,3.64175,3.569712364,-0.30685,-0.25086,-0.19601,0.26189,0.00359,98893.85905,5.061566282,-0.3774,-0.40233,-0.33672,0.08057,-0.27807,68581.039,249634.984
7/1/2022,ROU,RON,Romania,11,4.82175,2.281329393,-0.55702,-0.52124,-0.48619,-0.19355,-0.35863,28569.01777,3.840194045,-0.47556,-0.49656,-0.4413,-0.0898,-0.39189,14667.089,61021.203
7/1/2022,SAU,SAR,Saudi Arabia,17,3.755,4.527296937,-0.12091,-0.0499,0.01966,0.6004,0.2728,26704.95632,3.807819811,0.0496,0.00758,0.11817,0.82165,0.21706,23507.276,88152.283
7/1/2022,SGP,SGD,Singapore,5.9,1.3914,4.240333477,-0.17663,-0.11012,-0.04497,0.49896,0.19213,85366.6994,4.826632268,-0.22444,-0.25549,-0.17377,0.34604,-0.1007,72794.906,97798.743
7/1/2022,SWE,SEK,Sweden,57,10.19785,5.589413455,0.08532,0.173,0.25888,0.97586,0.57141,46516.13737,4.151892063,0.18845,0.14087,0.26609,1.06264,0.37806,60028.543,514838.802
7/1/2022,THA,THB,Thailand,128,36.6125,3.496073745,-0.32115,-0.26631,-0.2126,0.23586,-0.01712,9306.323554,3.505647681,-0.11961,-0.15486,-0.0621,0.52797,0.02085,7336.086,231302.799
7/1/2022,TUR,TRY,Turkey,47,17.565,2.67577569,-0.48043,-0.43846,-0.39735,-0.05411,-0.24773,9256.997784,3.504791012,-0.32602,-0.353,-0.28199,0.16974,-0.21849,9527.683,84481.339
7/1/2022,TWN,TWD,Taiwan,75,29.9075,2.507732174,-0.51306,-0.47373,-0.4352,-0.11352,-0.29498,64992.89975,4.472788693,-0.50505,-0.52486,-0.47271,-0.14097,-0.42608,33775.172,946498.54
7/1/2022,URY,UYU,Uruguay,255,41.91,6.084466714,0.18145,0.27689,0.37037,1.15086,0.71058,14726.86362,3.599789339,0.49213,0.43239,0.58961,1.5897,0.73019,16756.344,729194.218
7/1/2022,USA,USD,United States,5.15,1,5.15,0,0.08078,0.15991,0.82053,0.44787,69231.4,4.546401181,0,-0.04003,0.06533,0.73557,0.15955,69231.4,69231.4
7/1/2022,VEN,VES,Venezuela,10,5.6732,1.762673623,-0.65773,-0.63008,-0.603,-0.37689,-0.50444,,,,,,,,1685.657,
7/1/2022,VNM,VND,Vietnam,69000,23417,2.946577273,-0.42785,-0.38163,-0.33636,0.04162,-0.1716,6375.564885,3.454747499,-0.24706,-0.2772,-0.19787,0.30679,-0.12693,3724.543,85420189.72
7/1/2022,ZAF,ZAR,South Africa,39.9,17.03625,2.342064715,-0.54523,-0.50849,-0.47251,-0.17208,-0.34155,13261.54364,3.574340279,-0.42155,-0.44471,-0.38376,0.00394,-0.32926,6950.433,102744.775
